front,back,hint,publishedAt
"ehkä","perhaps, maybe","Ehkä menemme elokuviin tänä iltana.","2025-11-30T15:02:34.625Z"
"etslä töitä","looking for work","Minä etslä töitä kesäksi.","2025-11-30T15:01:36.148Z"
"päiväkoti","kindergarten","Lapset leikkivät päiväkodissa.","2025-12-12T19:18:33.103Z"
"Mä tuun suoraan töistä.","I'll come straight from work.","Mä tuun suoraan töistä.","2026-02-10T07:29:07.488Z"
"maaliskuu","March","Meillä on syntymäpäivä maaliskuussa.","2025-11-30T15:02:02.478Z"
"kiva","nice","Se oli todella kiva elokuva.","2024-10-21T17:51:42.592Z"
"haluta","want","Minä haluan jäätelöä.","2025-11-30T15:02:10.094Z"
"kello kaksi","at two o'clock","Meidän tapaaminen on kello kaksi.","2025-12-12T19:18:34.184Z"
"Tuleeks nää samasta?","Do you want to pay together?","","2025-11-30T15:00:14.195Z"
"kerros","floor","Leivonnaisessa on kolme kerrosta.","2025-11-30T15:02:38.138Z"
"Satama","Harbour","Laivamme saapuu satamaan kello kuusi.","2025-12-12T19:20:27.872Z"
"kaappi","wardrobe","Tarvitsen uuden kaapin vaatteilleni.","2025-12-12T19:20:01.895Z"
"lounas","lunch","Missä syömme lounasta tänään?","2025-12-12T19:19:42.674Z"
"lähteä","to leave / to go","Minun täytyy lähteä nyt.","2025-12-12T19:18:50.525Z"
"viedä","to take","Hän vie lapset kouluun joka aamu.","2025-12-12T19:19:45.647Z"
"onnellinen","Happy","Minä olen onnellinen tänään.","2025-11-30T15:02:40.700Z"
"ajaa","Drive","Minä ajan autoa.","2024-11-27T21:28:39.586Z"
"tv-taso","TV stand","Me ostimme uuden tv-tason olohuoneeseen.","2025-12-12T19:19:59.977Z"
"kuinka vanha","how old","Kuinka vanha sinä olet?","2024-10-27T20:20:10.757Z"
"tilata","order","Tilasin uuden kirjan verkkokaupasta.","2025-12-12T19:18:53.502Z"
"leikkipuisto","playground","Me menemme leikkipuistoon tänään.","2025-12-12T19:20:26.253Z"
"pieni","small","Minulla on pieni talo.","2025-11-30T15:01:49.582Z"
"pinkki","pink","Hänellä on pinkki mekko päällä.","2025-12-09T10:59:58.518Z"
"puoli","half","Minulla on puoli tuntia aikaa.","2025-11-30T15:01:06.058Z"
"päiväpeitto","bedspread","Päiväpeitto on kaunis ja värikäs.","2024-11-07T05:28:29.960Z"
"takin","jacket","Minun takin on punainen.","2025-12-09T11:00:30.855Z"
"On ukkonen","It is a thunderstorm","On ukkonen, ja taivas on tummana.","2025-11-30T15:01:58.268Z"
"puola","Poland","","2025-04-03T06:14:45.545Z"
"yli","past","Lintu lentää yli puun.","2025-12-12T19:18:54.442Z"
"kodikas","cosy","Tämä huone on todella kodikas.","2025-12-12T19:19:57.890Z"
"kiinni","Closed","Kirja on kiinni pöydällä.","2025-12-12T19:19:55.753Z"
"tumma","dark","Taivas on tänään tumma.","2025-11-30T15:02:39.384Z"
"sama","same","Hänellä on sama paita kuin minulla.","2025-11-30T15:01:38.705Z"
"mennä","go","Mennään kouluun.","2024-11-27T21:23:29.094Z"
"asuntoilmoitus","housing advertisement","Asuntoilmoitus oli todella houkutteleva.","2025-12-12T19:19:15.749Z"
"parta","beard","Hänellä on pitkä parta.","2025-12-09T11:00:13.623Z"
"moottoripyörä","motorcycle","Minulla on uusi moottoripyörä.","2025-12-12T19:20:30.991Z"
"ovi","door","Ovi on auki.","2025-12-12T19:19:46.910Z"
"terveyskeskus","healthcare center","Minun täytyy mennä terveyskeskukseen huomenna.","2025-12-12T19:20:25.509Z"
"alennus","Discount","Ostin uuden takin, koska siinä oli suuri alennus.","2025-12-09T11:00:32.534Z"
"luovuttaa huone","check out of a room","Minun täytyy luovuttaa huone huomenna.","2025-12-12T19:20:51.412Z"
"alas","down","Heittäkää pallo alas!","2025-12-12T19:19:55.773Z"
"kuukausi","month","Kuukausi on kulunut siitä, kun tapasimme.","2025-11-30T15:01:59.904Z"
"ilma","weather","Ilma on tänään kaunis.","2025-11-30T15:01:52.577Z"
"aamiainen","breakfast","Minä syön aamiaisen joka aamu.","2025-12-12T19:20:49.490Z"
"autta","help","Voitko auttaa minua?","2025-11-30T15:02:19.255Z"
"kauppahalli","shopping centre","Me menemme kauppahalliin ostamaan tuoreita vihanneksia.","2025-12-12T19:20:13.773Z"
"linja-autoasema","bus station","Meidän täytyy mennä linja-autoasemalle aikaisin aamulla.","2025-12-12T19:20:26.568Z"
"-kin","also","Hän on kaunis, ja hänen sisarensakin on kaunis.","2025-11-30T15:00:01.666Z"
"soitta","call","","2025-12-15T08:46:47.928Z"
"apu","help","Voitko antaa minulle apua?","2025-12-12T19:19:45.581Z"
"tuore","fresh","Tuore leipä on parasta.","2025-12-12T19:20:10.224Z"
"fysiikka","physics","Minä opiskelen fysiikkaa yliopistossa.","2024-11-07T05:34:27.958Z"
"kirkko","church","Kirkko on kaunis rakennus.","2025-12-12T19:20:21.448Z"
"kolmio","two-bedroom apartment","","2025-12-12T19:20:05.035Z"
"järvi","lake","Järven rannalla on ihana telttailla.","2025-12-12T19:20:20.436Z"
"avainkortti","Key card","Minulla on avainkortti hotellihuoneeseeni.","2025-12-12T19:20:37.434Z"
"uima","swim","Lapset uivat altaassa.","2025-12-09T11:01:09.948Z"
"opiskelija asunto","student apartment","","2025-11-30T15:01:40.822Z"
"lentoasama","airport","Meidän täytyy olla lentoasemalla kolme tuntia ennen lentoa.","2025-12-12T19:20:27.659Z"
"töihin","to work","Minun täytyy lähteä töihin nyt.","2025-11-30T15:01:44.035Z"
"pelata","Play","Minä pelan jalkapalloa.","2025-12-12T19:18:34.809Z"
"kerrostalo","apartment building","Me asumme kerrostalossa Helsingin keskustassa.","2025-12-12T19:19:29.802Z"
"matkustaa","to travel","Minä matkustan kesällä Suomeen.","2025-12-12T19:18:50.661Z"
"neliömetri","square metre","Huoneen pinta-ala on 20 neliömetriä.","2025-12-12T19:19:16.248Z"
"mä tuun","I will come","Mä tuun sun luo.","2025-12-12T19:18:59.597Z"
"pimeä","dark","Yö on pimeä.","2025-11-30T15:01:31.060Z"
"uimapuku","swimsuit","Haluatko ostaa uimapuvun rannalle?","2025-12-09T11:01:09.722Z"
"huonetta","rooms","Huonetta koristellaan jouluksi.","2025-12-12T19:19:17.001Z"
"lapset","children","Lapset leikkivät puistossa.","2025-12-09T10:59:39.124Z"
"aamuyöllä","in the morning","Hän käveli aamuyöllä kotiin ystäviensä kanssa.","2025-11-30T15:02:09.533Z"
"Hieno","Great","Hieno sää tänään!","2025-11-30T15:01:36.998Z"
"milloin","When","Milloin sinä tulet kotiin?","2024-11-07T05:29:47.182Z"
"koulu","school","Minä menen kouluun joka aamu.","2025-12-12T19:18:33.672Z"
"No niin","So","No niin, aloitetaan tämä projekti nyt.","2025-11-30T15:01:33.610Z"
"farkut","jeans","Hän pukeutui farkkuihin ja t-paitaan.","2025-12-09T11:01:08.903Z"
"suora","straight","Polku on suora.","2025-11-30T15:02:45.278Z"
"likaisia","dirty","Likaisia astioita on jäänyt keittiöön.","2025-12-12T19:20:54.855Z"
"nukkua","to sleep","Lapset nukkuvat päiväunet.","2025-11-30T15:01:28.372Z"
"nopea","fast","Hän juoksee nopeammin kuin minä.","2025-12-15T06:04:11.006Z"
"sieltä","from there","Hän tuli sieltä bussilla.","2025-12-12T19:20:14.428Z"
"lamppu","Lamp","Voitko sytyttää lampun, se on pimeää täällä.","2025-12-12T19:19:45.819Z"
"brasilialainen","Brazilian","Hän on brasilialainen jalkapalloilija.","2024-11-27T21:25:44.132Z"
"sopiminen","agreement","Sopiminen on tärkeää, jotta kaikki ovat samalla sivulla.","2025-12-29T11:26:57.346Z"
"Hieno juttu!","Thats great!","Olet saanut hyvän arvosanan kokeesta! Hieno juttu!","2025-11-30T15:01:37.348Z"
"kallis","expensive","Hän osti kalliin lahjan ystävälleen.","2025-11-30T15:00:25.349Z"
"meri","Sea","Me menemme merelle kesällä.","2025-12-15T06:00:57.415Z"
"ilmoitus","notice","Olen saanut ilmoituksen tapahtuman ajankohdasta.","2025-12-12T19:19:15.987Z"
"naisen","women's","Naisen ääni on kaunis.","2025-12-09T11:01:06.741Z"
"viro","Estonia","Olen käynyt Virossa monta kertaa.","2025-04-03T06:15:05.920Z"
"vihreä","Green","Hänellä on vihreä takki.","2025-12-09T11:00:00.079Z"
"hirveän kallis","terribly expensive","Tuolla ravintolassa ruoka on hirveän kallis.","2025-12-12T19:19:41.539Z"
"kun","when","Kun sataa, otan sateenvarjon mukaan.","2025-12-12T19:18:39.666Z"
"toukokuu","May","Toukokuu on kaunis kuukausi.","2025-11-30T15:02:04.476Z"
"rautatie","Rail","Rautatie kulkee kaupungin läpi.","2025-12-12T19:20:26.937Z"
"ymmärrä","understand","","2025-12-15T08:49:53.101Z"
"hame","skirt","Hänellä on kaunis hame päällään.","2025-12-09T11:01:09.110Z"
"tuuks sä","will you come","Tuuks sä mun kanssa kauppaan?","2025-12-12T19:18:57.745Z"
"mennä nukkumaan","go to bed","Minun täytyy mennä nukkumaan aikaisin tänä iltana.","2025-12-12T19:18:39.375Z"
"vuokratakuu","deposit","Vuokratakuu on yleensä yhden kuukauden vuokran suuruinen.","2025-12-12T19:19:39.411Z"
"sataa","rain","“Tänään sataa.”","2025-11-30T15:01:13.070Z"
"kirjoittaa","write","Opettaja pyysi meitä kirjoittamaan esseen.","2025-12-12T19:18:42.150Z"
"sori","sorry","Sori, jos häiritsin sinua.","2025-12-12T19:19:15.508Z"
"Kiitos ruoasta!","Thank you for the food!","Kiitos ruoasta, se oli todella herkullista!","2024-10-22T19:03:27.259Z"
"kellari","cellar","Meillä on iso kellari, jossa säilytämme viiniä.","2025-12-12T19:19:31.318Z"
"mihin","where to","Mihin sinä menet?","2025-11-30T15:00:45.369Z"
"näköala","View","Me kävimme vuorella, josta oli upea näköala.","2025-12-12T19:20:15.031Z"
"henkilö","person","Henkilö, joka auttaa sinua, on ystäväni.","2025-12-12T19:19:16.730Z"
"kahvi","coffee","Juon kahvia joka aamu.","2025-12-12T19:18:31.172Z"
"kova","hard","Se kivi on todella kova.","2025-12-12T19:19:57.680Z"
"kirjasto","Library","Kirjastossa on paljon kirjoja.","2025-12-12T19:20:22.454Z"
"maksaa","pay","Minun täytyy maksaa lasku.","2024-11-27T21:24:02.038Z"
"viileä","cool","Ulkona on viileä sää.","2025-11-30T15:01:51.528Z"
"matto","carpet","Matto liukastuu, kun se on märkä.","2025-12-12T19:20:03.430Z"
"jalkapallo","Football","Huomenna on jalkapallo-ottelu kaupungissa.","2025-12-12T19:18:35.126Z"
"tossut","slippers","Minulla on uudet tossut.","2026-01-06T10:35:22.929Z"
"kaikki","all","Kaikki lapset leikkivät puistossa.","2025-12-12T19:20:12.232Z"
"mikä","What","Mikä on sinun nimesi?","2025-11-30T15:00:42.199Z"
"teillä","you have","Teillä on kaunis talo.","2025-12-09T11:01:07.463Z"
"elokuvateatteri","cinema","Me menemme elokuvateatteriin tänä iltana.","2025-12-12T19:20:23.900Z"
"pitkästä aikaa","after a long time","Onpa mukavaa nähdä sinua pitkästä aikaa!","2025-12-12T19:20:09.673Z"
"t-paita","t-shirt","Minulla on uusi t-paita.","2025-12-09T11:01:08.314Z"
"piirtää","draw","Lapset piirtävät koulussa.","2025-12-12T19:18:51.884Z"
"silti","nevertheless","Hän oli väsynyt, mutta silti hän meni ulos.","2025-12-12T19:19:41.986Z"
"vaikea","difficult","Se on vaikea päätös.","2025-11-30T15:01:27.220Z"
"opiskelija-asunto","student accommodation","Opiskelija-asunnot ovat yleensä edullisempia kuin tavalliset asunnot.","2025-12-12T19:20:05.657Z"
"hetki","moment","Se oli kaunis hetki elämässäni.","2025-12-09T11:00:28.634Z"
"tärkeä","important","Perhe on minulle erittäin tärkeä.","2025-12-12T19:20:12.535Z"
"pää","Head","Minulla on kipua päässä.","2025-12-15T05:55:19.097Z"
"musta","Black","Taivas on tänään musta.","2025-12-09T11:00:03.587Z"
"väri","Colour","Taivaan väri on sininen.","2025-12-09T11:00:08.268Z"
"yhdessä","together","Me teemme tämän yhdessä.","2025-12-12T19:18:29.061Z"
"Kevät","Spring","Kevät on kaunis vuodenaika.","2025-11-30T15:01:59.102Z"
"kahville","for a coffee","Menemme tänään kahville ystävieni kanssa.","2025-12-12T19:19:03.718Z"
"kaupakeskus","shopping centre","Kaupakeskuksessa on paljon erilaisia ravintoloita ja kahviloita.","2025-12-12T19:20:22.706Z"
"sauna","sauna","Me menemme saunaan tänä iltana.","2025-12-12T19:19:31.100Z"
"herkullinen","delicious","Ravintolassa oli herkullinen illallinen.","2025-12-12T19:20:15.477Z"
"katu","street","Autot ajavat nopeasti kadulla.","2025-12-12T19:19:44.456Z"
"yläkerta","Upstairs","Voitko mennä yläkertaan ja tuoda kirjan?","2025-12-12T19:20:08.697Z"
"laiva","a ship","Laiva saapuu satamaan huomenna.","2025-12-12T19:20:31.934Z"
"Entä keskiviikkona?","What about Wednesday?","Entä keskiviikkona, mitä haluaisit tehdä?","2025-12-12T19:19:05.130Z"
"ainakin","at least","Se on ainakin parempi kuin ei mitään.","2025-12-12T19:20:13.137Z"
"arki","ordinary","Arki on usein kiireistä.","2026-01-10T08:10:06.938Z"
"sit","then","Minä menin kauppaan, sit ostin maitoa.","2025-11-30T14:59:53.701Z"
"voida","be able to, can","Hän voi auttaa sinua.","2025-11-30T15:02:18.678Z"
"myydä","sell","Myyn vanhan autoni ensi viikolla.","2025-12-12T19:18:51.103Z"
"millainen","what kind","Millainen sää tänään on?","2025-11-30T15:01:37.791Z"
"huoltaja","guardian","Hänen huoltajansa on aina hänen tukenaan.","2025-12-09T10:59:21.483Z"
"isoäiti","grandmother","Isoäiti leipoo aina herkullisia kakkuja.","2025-12-09T10:59:52.188Z"
"nahka","leather","Minulla on uusi nahkatakki.","2025-04-03T06:20:34.684Z"
"epäystävällinen","unfriendly","Hän oli epäystävällinen minulle eilen.","2025-11-30T15:02:41.403Z"
"pesutupa","laundry room","Pesutuvassa on kolme pesukonetta.","2025-12-12T19:19:31.107Z"
"tammikuu","January","Me menemme lomalle tammikuussa.","2025-11-30T15:02:00.510Z"
"mä","me","Mä menen kouluun.","2025-12-09T11:00:18.213Z"
"käyks kolmelta?","at three o'clock?","Käyks kolmelta kahville?","2025-12-12T19:19:15.393Z"
"monelta","at what time?","Monelta tapaamme huomenna?","2025-12-12T19:18:56.424Z"
"valoisa","light","Hänellä on valoisa mieli.","2025-11-30T15:01:22.687Z"
"futis","football","Hän pelaa futista joka viikonloppu.","2025-12-12T19:19:01.650Z"
"marraskuu","November","Syksy on kaunis, mutta marraskuu on usein harmaa.","2025-11-30T15:02:06.255Z"
"ongelma","problem","Minulla on ongelma matematiikassa.","2025-12-12T19:20:55.038Z"
"Voinks mä sovittaa tätä?","Can I try this on?","","2025-12-09T11:01:07.256Z"
"keskusta","Centre","Haluaisin mennä keskustaan tänään.","2025-12-12T19:19:41.127Z"
"rekka-auto","truck","Rekka-auto kuljettaa tavaroita pitkiä matkoja.","2025-12-12T19:20:30.936Z"
"tori","marketplace","Me menemme torille ostamaan tuoreita vihanneksia.","2025-12-12T19:20:22.521Z"
"Nukuitko sinä hyvin?","Did you sleep well?","Nukuiks sä hyvin eilen illalla?","2025-12-12T19:18:56.521Z"
"Sanotko uudelleen","can you say it again","Anteeksi, sanotko uudelleen, missä tapaamme?","2025-11-30T15:02:15.005Z"
"villapusero","sweater","Minulla on uusi villapusero.","2025-12-09T11:01:06.308Z"
"minun täytyy","I need to","Minun täytyy tehdä läksyt.","2025-11-30T15:01:42.738Z"
"saari","island","Suomessa on yli 180 000 saarta.","2025-12-12T19:20:19.386Z"
"varata","to book","Voinko varata pöydän illalliselle?","2025-12-12T19:20:50.960Z"
"lenkkitossut","trainers","Hän käyttää lenkkitossuja koulussa.","2025-12-12T19:18:19.443Z"
"mulle sopii neljältä","4:00 is fine with me","Voimmeko tavata neljältä? - Joo, mulle sopii neljältä.","2025-12-12T19:19:04.461Z"
"saappaat","boots","Hän osti saappaat talvea varten.","2025-12-12T19:18:17.935Z"
"halpa","cheap","Tämä takki on halpa.","2025-11-30T15:00:24.213Z"
"kenen","who","Kenen kirja tämä on?","2025-12-15T07:01:30.626Z"
"vuotias","years old","Minun koirani on kolme vuotias.","2025-04-03T06:21:47.643Z"
"muovi","plastic","Muovi on kevyttä ja kestävää.","2025-12-09T11:01:02.891Z"
"shortsit","shorts","Ostin uudet shortsit rannalle.","2025-12-09T11:01:10.533Z"
"lounasravintola","Lunch restaurant","Tykkään käydä lounasravintolassa joka päivä.","2025-12-12T19:18:31.480Z"
"vuokrata","Rent","Haluan vuokrata asunnon Helsingistä.","2025-12-12T19:20:06.064Z"
"katsoa","to look","Minä katson televisiota.","2025-12-12T19:18:37.633Z"
"minkämaalainen","what nationality","Minkämaalainen hän on? Hän on Iranilainen.","2024-11-27T21:22:30.698Z"
"aluspaita","undershirt","Minulla on uusi aluspaita.","2025-12-12T19:18:20.953Z"
"tuo","that","Tuo on kaunis kukka.","2025-12-12T19:19:46.248Z"
"valkoinen","white","Valkoinen lumi peittää maan.","2025-12-09T11:00:06.090Z"
"saada","get","Voinko saada vettä?","2025-11-30T15:02:15.703Z"
"valokuvan","photograph","Hän otti valokuvan auringonlaskun aikana.","2026-01-19T05:22:33.666Z"
"hissi","Elevator","Odota hississä, kunnes se tulee.","2025-12-12T19:19:30.511Z"
"ooppera","Opera","Me menemme oopperaan lauantaina.","2025-12-12T19:20:23.977Z"
"vuokralle annetaan","available for rent","Asunnon vuokralle annetaan ensi kuussa.","2025-12-12T19:19:16.104Z"
"kaveri","a friend","Minulla on paljon kavereita.","2025-12-12T19:18:34.592Z"
"ylös","up","Nousen ylös sängystä.","2025-12-12T19:19:46.696Z"
"huono","bad","Minulla on huono olo.","2025-11-30T15:01:12.138Z"
"tapahtua","happen","Huomenna tapahtuu jotain erityistä.","2025-12-12T19:19:45.486Z"
"makea","sweet","Olen syönyt makeaa kakkua.","2025-12-12T19:20:55.571Z"
"tuuks sä mun kanssa kahville?","would you come for coffee with me?","Tuuks sä mun kanssa kahville, kun pääset töistä?","2025-12-12T19:19:02.998Z"
"puhdas","clean","Vesi on puhdasta järvessä.","2025-12-12T19:19:58.747Z"
"tätä","this","Otan tätä kirjaa.","2025-12-09T11:00:28.986Z"
"auki","Open","Liike on auki kello 9-17.","2025-12-12T19:19:55.395Z"
"rauhaton","restless","Hän on rauhaton ennen tärkeää koetta.","2025-12-12T19:19:59.029Z"
"lemmikki","Pet","Minulla on kaksi lemmikkiä, koira ja kissa.","2025-12-09T10:59:19.834Z"
"sataa kaatamalla","it's raining cats and dogs","“Älä unohda sateenvarjoa, koska sataa kaatamalla.”","2025-11-30T15:01:14.018Z"
"juoda","drink","Minä juon vettä.","2025-12-12T19:18:30.936Z"
"Hanhenkakka","Goose poop","Varo, siellä on hanhenkakkaa maassa!","2025-12-12T19:20:53.907Z"
"mökki","cottage","Me menemme mökille viikonlopuksi.","2025-12-12T19:20:19.082Z"
"nähdä","see","Hän näki kauniin auringonlaskun.","2025-12-12T19:19:02.254Z"
"kello yhdeksän","at nine o'clock","Koulun alkaa kello yhdeksän.","2025-12-12T19:18:38.783Z"
"parkkipaikka","car park","Missä on lähin parkkipaikka?","2025-12-12T19:19:38.996Z"
"tykätä","To like","Minä tykkään jäätelöstä.","2025-12-12T19:20:20.190Z"
"syksy","autumn","Syksy on kaunis vuodenaika.","2025-11-30T15:01:59.646Z"
"se käy","it is possible","Voimmeko syödä illallista kello seitsemän? - Se käy hyvin.","2025-12-12T19:19:04.868Z"
"tarkistaa","check","Voitko tarkistaa tämän laskun?","2025-11-30T15:02:12.777Z"
"oranssi","orange","Taivas on tänään oranssi.","2025-12-09T10:59:59.298Z"
"käydä","visit","Minä käyn koulussa joka päivä.","2025-12-12T19:18:58.424Z"
"rintaliivit","bra","Hän valitsi kauniit rintaliivit juhlia varten.","2025-12-12T19:18:20.597Z"
"kylpyhuone","bathroom","Missä on kylpyhuone?","2025-12-12T19:20:07.249Z"
"tarkoittaa","mean","Mitkä ovat sanat \"rakkaus\" ja \"ystävä\" tarkoittaa?","2025-11-30T15:02:19.873Z"
"nää","these","Nää on mun lempivaatteet.","2025-11-30T15:00:16.324Z"
"kokki","chef","Kokki valmistaa herkullista ruokaa ravintolassa.","2025-12-12T19:18:31.768Z"
"tulla","to come","Voitko tulla tänne?","2024-11-27T21:30:13.114Z"
"vene","boat","Isä osti uuden veneen kesäksi.","2025-12-12T19:20:19.943Z"
"asuminen","living","Asuminen Helsingissä on kallista.","2025-12-12T19:20:03.674Z"
"mennä ostoksille","go shopping","Me menemme ostoksille tänään.","2025-12-12T19:18:57.519Z"
"itkeä","cry","Hän itki, kun hän kuuli huonoja uutisia.","2025-12-12T19:18:41.282Z"
"avoinna","Open at","Kirjasto on avoinna kello 9-17.","2025-12-12T19:20:29.837Z"
"piha","yard","Meillä on iso piha, jossa lapset leikkivät.","2025-12-12T19:19:43.441Z"
"ravintola","restaurant","Ravintolassa on hyviä ruokia.","2025-12-12T19:20:24.625Z"
"esimerkiksi","for example","Monet eläimet, esimerkiksi kissat ja koirat, ovat lemmikkejä.","2025-12-12T19:18:59.044Z"
"pääsymaksu","entrance fee","Museossa on 10 euron pääsymaksu.","2025-12-12T19:20:28.699Z"
"istua","sit","Voitko istua viereeni?","2024-11-27T21:24:55.248Z"
"ilmoittautua","register at","Minun täytyy ilmoittautua uuteen tanssikurssiin.","2025-11-30T15:02:09.957Z"
"vuokra","Rent","Asunnon vuokra on noussut viime aikoina.","2025-12-12T19:19:15.799Z"
"makeiset","sweets","Lapset rakastavat makeisia.","2026-01-18T08:49:46.120Z"
"vesimaksu","water fee","Meidän vesimaksu on tullut korkeammaksi tänä vuonna.","2025-12-12T19:19:16.382Z"
"aihe","Subject","Mikä on tämän päivän aihe?","2025-12-12T19:20:52.357Z"
"lähetä","send to","Lähetä tämä kirje postiin.","2025-11-30T15:01:43.135Z"
"ylihuomenna","the day after tomorrow","Ylihuomenna sataa lunta.","2024-10-22T19:10:26.933Z"
"pesukone","washing machine","Missä pesukone on?","2025-12-12T19:20:02.986Z"
"etupiha","front yard","Meillä on kaunis etupiha, jossa kasvaa paljon kukkia.","2025-12-12T19:19:39.222Z"
"kylä","village","Me asumme pienessä kylässä.","2025-12-12T19:20:09.452Z"
"vaimo","wife","Minun vaimoni on todella taitava kokki.","2025-12-09T10:59:45.487Z"
"Niin on.","So, it is.","Se on kaunis päivä, niin on.","2025-12-12T19:19:41.809Z"
"sitä","it","Hän ei ymmärrä sitä hyvin.","2025-12-12T19:20:17.520Z"
"ulosteet","feces","Ulosteet voivat kertoa paljon eläimen terveydentilasta.","2025-12-12T19:20:52.609Z"
"Ai ...?","Oh ...?","Ai, todella? En tiennyt tuota!","2025-12-12T19:18:58.186Z"
"tuoli","chair","Voit istua tuolille.","2025-12-12T19:19:46.505Z"
"valitettavasti","unfortunately","Valitettavasti en voi tulla juhliin.","2025-12-09T11:00:29.355Z"
"iltaisin","in the evenings","Me käymme iltaisin kävelyllä.","2025-12-12T19:18:35.454Z"
"ottaa","take","Voitko ottaa tämän kirjan?","2025-04-03T06:16:26.363Z"
"hyvännäkoinen","good-looking","","2025-12-09T11:00:15.454Z"
"pöytään","to the table","Voitko laittaa astiat pöytään?","2025-12-12T19:20:11.040Z"
"minutti","minute","Odotan sinua viisi minuuttia.","2025-12-12T19:18:55.626Z"
"vaaleanpunainen","pink","Hänellä on vaaleanpunainen mekko.","2025-12-09T10:59:54.458Z"
"sekunti","one second","Odotan sinua sekunnin.","2025-12-12T19:18:55.011Z"
"lääkäri","doctor","Minä menen lääkäriin huomenna.","2026-01-12T11:59:12.805Z"
"vaille","without","Olen vaille rahaa.","2025-12-12T19:18:54.808Z"
"minkävärinen?","what colour?","Minkävärinen tämä paita on?","2025-12-09T11:00:07.300Z"
"toinen kerros","second floor","Kirjasto on toisessa kerroksessa.","2025-12-12T19:20:08.236Z"
"vauva","baby","Vauva nukkuu sängyssä.","2025-12-09T10:59:24.816Z"
"Öö, tota ...","Erm, ... (express uncertainty)","","2025-12-12T19:19:00.343Z"
"takana","at the back","Takana on suuri puu.","2025-12-09T11:00:29.987Z"
"maistaa","taste","Voitko maistaa tätä kakkua?","2025-12-12T19:20:17.128Z"
"mä luulen","I think","Mä luulen, että tänään sataa vettä.","2025-12-15T06:37:50.118Z"
"ei vaan","no, but","Hän ei vaan opi kieltä, vaan myös kulttuuria.","2025-11-30T14:59:28.369Z"
"apteekki","pharmacy","Missä on lähin apteekki?","2025-12-12T19:18:33.271Z"
"auringonlaskun","sunset","Hän otti valokuvan auringonlaskun aikana.","2026-01-19T05:14:43.504Z"
"pehmeä","soft","Tyyny on pehmeä.","2025-12-12T19:19:57.625Z"
"jalka","foot","Minulla on kipua jalassa.","2026-01-04T21:42:59.167Z"
"wc-pönttö","toilet","Missä on wc-pönttö?","2025-12-12T19:20:02.500Z"
"elämää","life","Elämää on täynnä yllätyksiä.","2026-01-15T11:35:42.752Z"
"kantaa","carry","Hän kantaa suurta vastuuta perheestään.","2025-12-12T19:19:44.926Z"
"saunaosasto","sauna department","Hotellin saunaosasto on erittäin suosittu.","2025-12-12T19:20:50.209Z"
"olla hiljaa","to be quiet","Vauva nukkuu, joten meidän täytyy olla hiljaa.","2026-01-11T19:04:25.281Z"
"missä päin","whereabouts","Missä päin kaupunkia sinä asut?","2025-12-12T19:19:40.278Z"
"kunnossapito","to mainten","Kunnossapito on tärkeää, jotta laitteet toimivat moitteettomasti.","2026-01-19T05:13:54.927Z"
"kivi","stone","Se kivi on todella kova.","2026-01-15T11:48:01.474Z"
"soida","ring","Konsertti soi kauniisti.","2025-12-12T19:18:26.477Z"
"No varmasti","No doubt","No varmasti, minä autan sinua.","2025-12-12T19:20:21.420Z"
"vuokralainen","tenant","Vuokralainen maksaa vuokran joka kuukausi.","2025-12-12T19:20:06.575Z"
"viime","last","Kirja julkaistiin viime viikolla.","2026-01-18T17:01:02.279Z"
"vastaanotto","reception","Meillä on vastaanotto huomenna lääkärissä.","2025-12-12T19:20:35.805Z"
"kalju","bald","Kalju koira näyttää söpöltä.","2025-12-09T11:00:14.409Z"
"uimahalli","Swimming pool","Uimahallissa on paljon erilaisia altaita.","2025-12-12T19:18:36.298Z"
"sandaalit","sandals","Ostin uudet sandaalit rannalle.","2025-12-12T19:18:37.370Z"
"ensimmäinen kerros","ground floor","Olen ensimmäisessä kerroksessa.","2025-12-12T19:20:08.006Z"
"luovuttaa","to give up","Älä luovuta, jatka yrittämistä!","2025-12-12T19:20:49.974Z"
"vuokrasopimus","lease","On tärkeää lukea vuokrasopimus huolellisesti ennen allekirjoittamista.","2025-12-12T19:20:06.323Z"
"nojatuoli","armchair","Istun nojatuolissa ja luen kirjaa.","2025-12-12T19:19:59.450Z"
"luistella","ice skate","Talvella me luistellaan jäällä.","2025-12-12T19:18:50.270Z"
"omakotitalo","detached house","Meidän perheellä on omakotitalo maalla.","2025-12-12T19:20:04.166Z"
"erittäin","very","Perhe on minulle erittäin tärkeä.","2026-01-19T05:17:33.676Z"
"yöpöytä","bedside table","Yöpöydälläni on lamppu ja kirja.","2025-12-12T19:20:01.418Z"
"liila","purple","Minun lempivärini on liila.","2025-12-09T10:59:57.745Z"
"huolellisesti","carefully","Aja huolellisesti!","2026-01-11T19:04:27.725Z"
"vuode","bed","Minulla on uusi vuode makuuhuoneessani.","2025-12-12T19:20:50.673Z"
"kenkä","shoe","Missä minun kenkäni ovat?","2025-12-12T19:18:36.835Z"
"yhdeksältä","at 9 a.m.","Hän tulee kotiin yhdeksältä.","2025-12-12T19:18:38.437Z"
"lähetä töihin","send to work","Voisitko lähettää minut töihin huomenna?","2025-11-30T15:01:43.525Z"
